"Add Google website verification meta tag","Voeg verifikasiemetamerker by vir Google-webwerf"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","'n Metamerker is by die HTML gevoeg op die werwe wat hieronder gelys word. Hierdie stap laat Google toe om domeineienaarskap op jou werwe te verifieer."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Koppel jou Magento-rekening aan Merchant Center om jou produkdata deur die winkel-API te begin invoer. Nadat jy jou Magento- en Merchant Center-rekeninge met mekaar geskakel het, sal enige winkelinligting wat in jou Magento-winkel opgedateer word, ook in Merchant Center opgedateer word."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Spring weg deur "%s" hieronder te klik. 'n Nuwe Magento API-rekening sal outomaties gegenereer word en jou winkelinligting en -besonderhede sal deur 'n veilige verbinding by  Merchant Center ingedien word. Indien jy nog nie 'n Merchant Center-rekening het nie, volg die aansluitingsinstruksies om 'n nuwe rekening te skep. Let wel: Jou API-inligting sal ná 60 dae uitgevee word indien 'n skakel nie geskep word nie."
"Google Shopping","Google Inkopies"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Inkopies%s help besighede om die mag van kliëntvoornemens te ontsluit deur die regte mense met relevante produkadvertensies te bereik wanneer dit die meeste van belang is. Gebruik hierdie uitbreiding om jou winkel- en produkdata na Google Merchant Center op te laai en dit aan Google Inkopies en ander Google-dienste beskikbaar te stel, wat jou in staat stel om miljoene nuwe kliënte te bereik wat soek na wat jy verkoop."
"Launch","Begin"
"Learn More","Kom meer te wete"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Gaan haal winkelinligting"
"Retrieve basic shop information","Gaan haal basiese winkelinligting"
"Retrieve product information","Gaan haal produkinligting"
