"Add Google website verification meta tag","Дадайце метацэтлік праверкі вэб-сайта Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Метацэтлік быў дададзены да HTML на сайтах, пералічаных ніжэй. Гэты крок дазваляе Google правяраць права ўласнасці даменамі на вашых сайтах."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Падключыце свой уліковы запіс Magento да гандлёвага цэнтра, каб пачаць імпарт даных аб прадукце праз краму API. Пасля таго як вы звязалі ўліковыя запісы Magento і гандлёвага цэнтра, любая інфармацыя крамы, якая абнаўляецца ў краме Magento, будзе абнаўляцца таксама ў гандлёвым цэнтры."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Пачніце, націснуўшы кнопку "%s" ніжэй. Будзе аўтаматычна згенерыраваны новы ўліковы запіс Magento API, а інфармацыя і ўліковыя даныя вашай крамы будуць адпраўлены ў гандлёвы цэнтр па бяспечным злучэнні. Калі вы не маеце ўліковага запісу гандлёвага цэнтра, выконвайце падказкі па стварэнні новага ўліковага запісу. Нататка: калі спасылка не створана, ваша інфармацыя API будзе выдалена праз 60 дзён."
"Google Shopping","Шопінг Google"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sШопінг Google%s дапамагае кампаніям матэрыялізаваць жаданне кліентаў па пошуку неабходных людзей з дапамогай адпаведнай рэкламы прадуктаў, калі гэта асабліва важна. Карыстайцеся гэтым пашырэннем для запампавання даных крамы і прадуктаў у гандлёвы цэнтр Google, каб зрабіць іх даступнымі для Шопінг Google і іншых сэрвісаў Google, што дазволіць вам працаваць з мільёнамі новых кліентаў, якія шукаюць тое, што вы прадаяце."
"Launch","Запусціць"
"Learn More","Даведацца больш"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Атрымаць інфармацыю аб краме"
"Retrieve basic shop information","Атрымаць базавую інфармацыю аб краме"
"Retrieve product information","Атрымаць інфармацыю аб таварах"
