"Add Google website verification meta tag","Přidat ověřovací metaznačku webové stránky Google."
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","K HTML níže uvedených stránek byla přidána ověřovací metaznačka. Ta umožňuje Googlu ověřit vlastnictví vašich stránek."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Propojte svůj účet Magento se službou Merchant Center a začněte importovat svá produktová data prostřednictvím rozhraní API obchodu. Až budou vaše účty ve službách Magento a Merchant Center propojeny, jakékoli aktualizace provedené v obchodě Magento se automaticky promítnou též do služby Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Začněte kliknutím na možnost %s níže. Automaticky dojde k vytvoření nového účtu API Magento a přihlašovací údaje a informace o obchodu budou přes zabezpečené připojení odeslány do služby Merchant Center. Pokud ještě nemáte účet ve službě Merchant Center, vytvořte si podle pokynů k registraci nový. Poznámka: pokud nedojde k vytvoření odkazu, budou vaše informace API po 60 dnech vymazány."
"Google Shopping","Nákupy Google"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sNákupy Google%s pomáhají firmám využít sílu zákaznického záměru k oslovení správných lidí reklamami na relevantní produkty ve správnou chvíli. Použijte toto rozšíření k nahrání vašich dat z obchodu a produktových dat do služby Google Merchant Center a zpřístupněte je v Nákupech Google a v dalších službách Google, čímž získáte možnost oslovit miliony nových zákazníků, kteří hledají to, co vy prodáváte."
"Launch","Uvedení"
"Learn More","Další informace"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Získat informace o obchodu"
"Retrieve basic shop information","Získat základní informace o obchodu"
"Retrieve product information","Získat informace o produktu"
