"Add Google website verification meta tag","Προσθήκη μετα-ετικέτας επαλήθευσης ιστοτόπου Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Προστέθηκε μια μετα-ετικέτα στο HTML των ιστοτόπων που παρατίθενται παρακάτω. Με αυτήν την ενέργεια, η Google μπορεί να επαληθεύσει την ιδιοκτησία του τομέα στους ιστοτόπους σας."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Συνδέστε τον λογαριασμό σας Magento στο Merchant Center για να ξεκινήσετε να εισαγάγετε τα δεδομένα των προϊόντων σας μέσω του Store API. Αφού συνδέσετε τους λογαριασμούς Magento και Merchant Center, τυχόν στοιχεία καταστήματος που ενημερώθηκαν στο κατάστημα Magento θα ενημερωθούν και στο Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Ξεκινήστε κάνοντας κλικ παρακάτω στην επιλογή "%s". Θα δημιουργηθεί αυτόματα ένας νέος λογαριασμός Magento API και τα στοιχεία καταστήματος μαζί με τα διαπιστευτήριά σας θα υποβληθούν στο Merchant Center μέσω ασφαλούς σύνδεσης. Αν δεν διαθέτετε ήδη λογαριασμό στο Merchant Center, ακολουθήστε τις οδηγίες εγγραφής για να δημιουργήσετε έναν νέο λογαριασμό. Σημείωση: Αν δεν δημιουργηθεί ένας σύνδεσμος, τα στοιχεία του API θα διαγραφούν σε 60 ημέρες."
"Google Shopping","Αγορές Google"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","Οι %sΑγορές Google%s βοηθούν τις επιχειρήσεις να αξιοποιούν τη δύναμη της πρόθεσης των πελατών, προσεγγίζοντας τα κατάλληλα άτομα με σχετικές διαφημίσεις προϊόντων την κατάλληλη στιγμή. Χρησιμοποιήστε αυτήν την επέκταση για να ανεβάσετε δεδομένα καταστήματος και προϊόντων στο Google Merchant Center και να τα διαθέσετε στις Αγορές Google και σε άλλες υπηρεσίες της Google, ώστε να προσεγγίσετε εκατομμύρια νέους πελάτες που αναζητούν αυτό που εσείς προσφέρετε."
"Launch","Έναρξη"
"Learn More","Μάθετε περισσότερα"
"Google Shopping Connect","Connect για Αγορές Google"
"Retrieve shop information","Ανάκτηση πληροφοριών καταστήματος"
"Retrieve basic shop information","Ανάκτηση βασικών πληροφοριών καταστήματος"
"Retrieve product information","Ανάκτηση πληροφοριών προϊόντος"
