"Add Google website verification meta tag","הוסף מטא תג של Google לאימות אתרים"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","מטא תג נוסף ל-HTML של האתרים המפורטים למטה. שלב זה מאפשר ל-Google לאמת את הבעלות על דומיינים באתרים שלך."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","כדי להתחיל לייבא את נתוני המוצרים שלך באמצעות ה-API של החנות, חבר את חשבון ה-Magento לחשבון ה-Merchant Center שלך. לאחר שתחבר את חשבון ה-Magento לחשבון ה-Merchant Center, כל פרט שתעדכן בחנות ה-Magento יתעדכן גם ב-Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","כדי להתחיל, לחץ למטה על "%s". חשבון API חדש של Magento ייווצר אוטומטית ופרטי החנות והאישורים שלה יישלחו אל Merchant Center באמצעות חיבור מאובטח. אם עדיין אין לך חשבון Merchant Center, בצע את הוראות ההרשמה ליצירת חשבון חדש. הערה: אם לא ייווצר קישור, פרטי ה-API שלך יימחקו לאחר 60 יום."
"Google Shopping","קניות ב-Google"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","תוכנית %sקניות ב-Google%s עוזרת לעסקים למנף את העוצמה של כוונת המשתמש כדי להגיע לאנשים הנכונים ולהציג בפניהם מוצרים רלוונטיים ברגעים הנכונים. בעזרת תוסף זה תוכל להעלות את נתוני החנות והמוצרים שלך ל-Google Merchant Center ולהפוך אותם לזמינים בקניות ב-Google ובשירותים נוספים של Google. כך תוכל להגיע למיליוני לקוחות חדשים המחפשים את המוצרים שאתה מוכר."
"Launch","הפעל"
"Learn More","למידע נוסף"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","אחזר פרטי חנות"
"Retrieve basic shop information","אחזר פרטי חנות בסיסיים"
"Retrieve product information","אחזר פרטי מוצרים"
