"Add Google website verification meta tag","Dodaj Googleovu metaoznaku za potvrdu web-lokacije"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Metaoznaka je dodana u HTML kôd web-lokacija u nastavku. Taj postupak omogućuje Googleu da potvrdi vlasništvo domene vaših web-lokacija."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Povežite svoj Magento račun s Merchant Centerom da biste započeli s uvozom podataka o svojim proizvodima putem API-ja trgovine. Nakon što povežete svoje račune Magenta i Merchant Centera, sve informacije o trgovini ažurirane u vašoj Magento trgovini ažurirat će se i na Merchant Centeru."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Za početak kliknite opciju "%s" u nastavku. Automatski će se generirati novi račun API-ja za Magento, a informacije i vjerodajnice za vašu trgovinu poslat će se putem sigurne veze na Merchant Center. Ako još nemate račun za Merchant Center, slijedite upute tijekom registracije da biste izradili novi račun. Napomena: ako račune ne povežete, informacije vašeg API-ja izbrisat će se za 60 dana."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s pomaže tvrtkama da steknu uvid u namjere korisnika i na taj način u pravom trenutku ponude relevantne proizvode pravim kupcima. Pomoću tog proširenja možete prenijeti podatke o svojoj trgovini i proizvodima na Google Merchant Center da biste ih učinili dostupnima na Google Shoppingu i drugim Googleovim uslugama, što će vam omogućiti da se približite milijunima novih korisnika koji traže ono što vi prodajete."
"Launch","Pokreni"
"Learn More","Saznajte više"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Dohvati informacije o trgovini"
"Retrieve basic shop information","Dohvati osnovne informacije o trgovini"
"Retrieve product information","Dohvati informacije o proizvodu"
