"Add Google website verification meta tag","Aggiungi il meta tag di verifica Google del sito web"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Un meta tag è stato aggiunto al codice HTML sui siti elencati di seguito. Questo passaggio permette a Google di verificare la proprietà del dominio sui tuoi siti."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Collega il tuo account Magento a Merchant Center per iniziare a importare i tuoi dati di prodotto tramite l'API Google Store. Dopo aver collegato i tuoi account Magento e Merchant Center, tutte le informazioni del negozio aggiornate nel negozio Magento verranno aggiornate anche in Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Inizia facendo clic su "%s" qui sotto. Verrà generato automaticamente un nuovo account API Magento e le credenziali e i dati del negozio verranno inviati a Merchant Center tramite una connessione protetta. Se non hai già creato un account Merchant Center, segui le istruzioni di registrazione per creare un nuovo account. Nota. Se non viene creato nessun link, le informazioni relative all'API verranno eliminate dopo 60 giorni."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s permette alle aziende di sfruttare il potenziale delle intenzioni dei clienti per raggiungere le persone giuste con annunci pertinenti al momento più opportuno. Utilizza questa estensione per caricare i dati relativi al tuo negozio e ai tuoi prodotti in Google Merchant Center e renderli disponibili su Google Shopping e su altri servizi Google, in modo da raggiungere milioni di nuovi clienti che cercano i tuoi prodotti o i servizi."
"Launch","Lancio"
"Learn More","Ulteriori informazioni"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Recupera informazioni sul negozio"
"Retrieve basic shop information","Recupera informazioni di base sul negozio"
"Retrieve product information","Recupera informazioni sul prodotto"
