"Add Google website verification meta tag","Tambahkan teg meta pengesahan tapak web Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Teg meta telah ditambahkan pada HTML bagi tapak yang disenaraikan di bawah. Tindakan ini membolehkan Google mengesahkan pemilikan domain pada tapak anda."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Hubungkan akaun Magento anda dengan Merchant Center untuk mengimport data produk anda melalui API gedung. Selepas anda menghubungkan akaun Magento dan Merchant Center anda, maklumat gedung yang dikemas kini di gedung Magento anda akan turut dikemas kini di Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Mulakan dengan mengklik "%s" di bawah. Akaun API Magento yang baharu akan dijana secara automatik dan maklumat gedung serta bukti kelayakan anda akan diserahkan kepada Merchant Center melalui sambungan yang selamat. Jika anda tiada akaun Merchant Center, ikut gesaan pendaftaran untuk membuat akaun baharu. Nota: Jika pautan tidak dibuat, maklumat API anda akan dipadamkan selepas 60 hari."
"Google Shopping","Google Beli-belah"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Beli-belah%s membantu perniagaan menggunakan kuasa hasrat pelanggan untuk mencapai pengguna yang sesuai menggunakan iklan produk yang berkaitan pada waktu yang tepat. Gunakan sambungan ini untuk memuat naik data gedung dan produk anda ke Google Merchant Center dan sediakannya di Google Beli-belah dan perkhidmatan Google yang lain. Tindakan ini akan membolehkan anda mencapai jutaan pelanggan baharu yang mencari produk jualan anda."
"Launch","Lancarkan"
"Learn More","Ketahui Lebih Lanjut"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Dapatkan maklumat kedai"
"Retrieve basic shop information","Dapatkan maklumat kedai asas"
"Retrieve product information","Dapatkan maklumat produk"
