"Add Google website verification meta tag","Dodaj metatag Google, który służy do weryfikacji witryny"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Metatag został dodany do kodu HTML witryn wymienionych poniżej. Dzięki temu Google może zweryfikować własność domeny w Twoich witrynach."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Połącz konto Magento z kontem Merchant Center, aby rozpocząć importowanie danych produktów przez interfejs API sklepu. Gdy połączysz konta Magento i Merchant Center, wszystkie informacje aktualizowane w sklepie Magento zostaną również zaktualizowane w Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Aby rozpocząć, kliknij poniżej „%s”. Wygenerujemy automatycznie nowe konto Magento z interfejsem API, a informacje o Twoim sklepie i dane logowania prześlemy do Merchant Center, korzystając z bezpiecznego połączenia. Jeśli nie masz jeszcze konta Merchant Center, postępuj zgodnie z instrukcjami, aby je utworzyć. Uwaga: jeśli nie utworzysz połączenia, Twoje dane z interfejsu API zostaną usunięte po 60 dniach."
"Google Shopping","Zakupy Google"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sZakupy Google%s pomagają firmom wykorzystać informacje o zamiarach klientów, aby docierać do odpowiednich osób za pomocą trafnych reklam produktów, wyświetlanych w kluczowych momentach. Użyj tego rozszerzenia, aby przesyłać informacje o swoim sklepie i dane produktów do Google Merchant Center oraz udostępniać je w Zakupach Google i innych usługach Google. Dzięki temu możesz dotrzeć do milionów nowych klientów, którzy szukają dokładnie tych produktów, które oferujesz."
"Launch","Otwórz"
"Learn More","Więcej informacji"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Pobierz informacje o sklepie"
"Retrieve basic shop information","Pobierz podstawowe informacje o sklepie"
"Retrieve product information","Pobierz informacje o produktach"
