"Add Google website verification meta tag","Adăugați metaetichetă Google de verificare a site-urilor"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","O metaetichetă a fost adăugată la codul HTML al site-urilor listate mai jos. Prin urmare, Google poate să verifice dreptul de proprietare asupra domeniului site-urilor dvs."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Conectați-vă contul Magento cu Google Merchant Center pentru a începe să importați datele despre produse prin API-ul magazinului. După ce v-ați conectat conturile Magento și Google Merchant Center, toate informațiile privind magazinul actualizate în magazinul dvs. Magento vor fi actualizate și în Google Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Pentru început, dați clic pe „%s” mai jos. Un nou cont API Magento va fi generat automat, iar informațiile magazinului și datele de conectare vor fi trimise către Google Merchant Center printr-o conexiune securizată. Dacă nu aveți un cont Google Merchant Center, urmați instrucțiunile de înscriere pentru a-l crea. Notă: în cazul în care conturile nu sunt conectate, informațiile API vor fi șterse după 60 de zile."
"Google Shopping","Cumpărături Google"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sCumpărături Google%s ajută companiile să se folosească de puterea intenției consumatorilor pentru a ajunge la persoanele potrivite cu anunțuri relevante de produse, exact la momentul potrivit. Folosiți această extensie pentru a vă încărca datele privind magazinul și produsele în Google Merchant Center și pentru ca acestea să fie disponibile în Cumpărături Google și în alte servicii Google. Astfel, ajungeți la milioane de noi consumatori care caută ceea ce doriți să vindeți."
"Launch","Lansați"
"Learn More","Aflați mai multe"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Preia informații despre magazin"
"Retrieve basic shop information","Preia informații de bază despre magazin"
"Retrieve product information","Preia informații despre produse"
