"Add Google website verification meta tag","Shto etiketën me të dhënat meta që verifikon faqen në Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Etiketa me të dhënat meta është shtuar në HTML në faqet e përmendura më poshtë. Ky veprim i mundëson Google të verifikojë pronësinë e domenit për faqet e tua."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Lidh llogarinë tënde në Magento me "Qendrën tregtare" për të filluar importimin e të dhënave të produkteve nëpërmjet API-së së dyqanit. Pas lidhjes së llogarive në Magento dhe në "Qendrën tregtare", informacionet përkatëse të përditësuara në dyqanin Magento do të përditësohen edhe në "Qendrën tregtare"."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Fillo duke shtypur "%s" më poshtë. Do të krijohet automatikisht një llogari e re e API-së së Magento dhe informacionet e kredencialet e dyqanit tënd do t'i dorëzohen dhe "Qendrës tregtare" përmes një lidhjeje të siguruar. Nëse nuk ke ende llogari në "Qendrën tregtare", ndiq pyetjet e regjistrimit për të krijuar një të tillë. Shënim. Nëse nuk krijohet lidhja, informacioni yt i API-së do të fshihet pas 60 ditëve."
"Google Shopping","Blerje përmes Google"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","Shërbimi %s"Blerje përmes Google"%s ndihmon aktivitetet tregtare të shfrytëzojnë pritshmëritë e klientëve duke arritur te njerëzit e duhur me anë të reklamave përkatëse të produkteve në çastet më rëndësishme. Përdor këtë modul për t'i ngarkuar të dhënat e dyqanit dhe të produkteve në "Qendrën tregtare të Google" dhe vëri në dispozicion te shërbimi "Blerje përmes Google" dhe në shërbime të tjera të Google, duke pasur kështu mundësinë të arrish në miliona klientë të rinj që kërkojnë atë që ti shet."
"Launch","Hape"
"Learn More","Mëso më shumë"
"Google Shopping Connect","Lidhu i "Blerje me Google""
"Retrieve shop information","Gjej informacionet mbi dyqanin"
"Retrieve basic shop information","Gjej informacionet bazë mbi dyqanin"
"Retrieve product information","Gjej informacionet mbi produktin"
