"Add Google website verification meta tag","เพิ่มเมตาแท็กในการยืนยันเว็บไซต์สำหรับ Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","เพิ่มเมตาแท็กลงใน HTML บนเว็บไซต์ตามรายการด้านล่างแล้ว ขั้นตอนนี้ทำให้ Google สามารถยืนยันการเป็นเจ้าของโดเมนบนเว็บไซต์ของคุณ"
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","เชื่อมต่อบัญชี Magento กับ Merchant Center เพื่อเริ่มการนำเข้าข้อมูลผลิตภัณฑ์ของคุณผ่าน API ของ Magento หลังจากที่คุณลิงก์บัญชี Magento กับบัญชี Merchant Center แล้ว ข้อมูลต่างๆ ของร้านค้าที่มีการอัปเดตในร้านค้า Magento จะอัปเดตใน Merchant Center ด้วย"
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","เริ่มต้นใช้งานโดยคลิก "%s" ที่ด้านล่าง ระบบจะสร้างบัญชี API ของ Magento ใหม่โดยอัตโนมัติ และจะส่งข้อมูลร้านค้าและข้อมูลรับรองของคุณไปยัง Merchant Center ผ่านการเชื่อมต่อที่ปลอดภัย หากคุณยังไม่มีบัญชี Merchant Center ให้ทำตามข้อความแจ้งของระบบในการลงชื่อสมัครใช้เพื่อสร้างบัญชีใหม่ หมายเหตุ: หากไม่มีการสร้างลิงก์ ระบบจะลบข้อมูล API ของคุณหลังผ่านไป 60 วัน"
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s ช่วยให้ธุรกิจใช้ประโยชน์จากความต้องการของลูกค้าได้อย่างมีประสิทธิภาพเพื่อเข้าถึงลูกค้าที่เหมาะสมด้วยโฆษณาผลิตภัณฑ์ที่เกี่ยวข้องในช่วงเวลาซึ่งสำคัญมากที่สุด ใช้ส่วนขยายนี้ในการอัปโหลดข้อมูลร้านค้าและผลิตภัณฑ์ของคุณไปยัง Google Merchant Center และทำให้ใช้ได้กับ Google Shopping รวมถึงบริการอื่นๆ ของ Google เพื่อให้คุณสามารถเข้าถึงลูกค้าใหม่นับล้านๆ รายที่กำลังค้นหาสิ่งที่คุณเสนอขาย"
"Launch","เปิด"
"Learn More","เรียนรู้เพิ่มเติม"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","ดึงข้อมูลร้านค้า"
"Retrieve basic shop information","ดึงข้อมูลพื้นฐานของร้านค้า"
"Retrieve product information","ดึงข้อมูลผลิตภัณฑ์"
