"Add Google website verification meta tag","Додати метатег для підтвердження веб-сайту в Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Метатег додано в HTML-файли перелічених нижче сайтів. Це дасть змогу Google підтвердити право власності на домен для ваших сайтів."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Зв’яжіть свій обліковий запис Magento з обліковим записом Merchant Center, щоб імпортувати дані про продукти через API магазину. Після зв’язування цих облікових записів інформація, яку ви оновите в магазині на платформі Magento, також оновиться в Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Щоб почати, натисніть нижче кнопку "%s". Для вас буде автоматично створено новий обліковий запис API Magento, а ваші облікові дані й інформацію з магазину буде надіслано в Merchant Center через безпечне з’єднання. Якщо ви не маєте облікового запису Merchant Center, створіть його під час реєстрації, дотримуючись підказок. Зверніть увагу: якщо ви не зв’яжете облікові записи, інформацію API буде видалено через 60 днів."
"Google Shopping","Google Покупки"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Покупки%s допомагають компаніям визначати наміри клієнтів, щоб охоплювати потрібних покупців за допомогою доречних оголошень у слушний момент. Скористайтеся цим розширенням, щоб завантажити дані про свій магазин і продукти в Google Merchant Center та зробити їх доступними в Google Покупках та інших службах Google. Завдяки цьому ви зможете охопити мільйони нових клієнтів, які шукають те, що ви пропонуєте."
"Launch","Запустити"
"Learn More","Докладніше"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Отримувати інформацію з магазину"
"Retrieve basic shop information","Отримувати основну інформацію з магазину"
"Retrieve product information","Отримувати дані про продукти"
