"Add Google website verification meta tag","Thêm thẻ meta xác minh trang web của Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Một thẻ meta đã được thêm vào HTML trên các trang web được liệt kê dưới đây. Bước này cho phép Google xác minh quyền sở hữu tên miền trên trang web của bạn."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Kết nối tài khoản Magento của bạn với Merchant Center để bắt đầu nhập dữ liệu sản phẩm của bạn qua API cửa hàng. Sau khi bạn đã liên kết tài khoản Magento và Merchant Center, mọi thông tin cửa hàng được cập nhật trong cửa hàng Magento cũng sẽ được cập nhật trong Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Bắt đầu bằng cách nhấp vào "%s" dưới đây. Một tài khoản API Magento mới sẽ được tạo tự động, thông tin cửa hàng và bằng chứng xác thực của bạn sẽ được gửi đến Merchant Center thông qua một kết nối an toàn. Nếu bạn chưa có tài khoản Merchant Center, hãy làm theo lời nhắc đăng ký để tạo tài khoản mới. Lưu ý: Nếu liên kết không được tạo, thông tin API của bạn sẽ bị xóa sau 60 ngày."
"Google Shopping","Google Mua sắm"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Mua sắm%s giúp các doanh nghiệp khai thác sức mạnh của mục đích của khách hàng để tiếp cận đúng đối tượng với quảng cáo sản phẩm có liên quan vào thời điểm quan trọng nhất. Sử dụng tiện ích này để tải dữ liệu cửa hàng và sản phẩm của bạn lên Google Merchant Center và cung cấp dữ liệu cho Google Mua sắm và các dịch vụ khác của Google, cho phép bạn tiếp cận hàng triệu khách hàng mới đang tìm kiếm những gì bạn bán."
"Launch","Chạy"
"Learn More","Tìm hiểu thêm"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Truy xuất thông tin cửa hàng"
"Retrieve basic shop information","Truy xuất thông tin cửa hàng cơ bản"
"Retrieve product information","Truy xuất thông tin sản phẩm"
