"Add Google website verification meta tag","新增 Google 網站驗證中繼標籤"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","已於下列網站的 HTML 內新增中繼標籤。此步驟讓 Google 可以驗證您網站上的網域擁有權。"
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","將您的 Magento 帳戶連接至「商家中心」，即可透過商店的 API 開始匯入產品資料。當您連結 Magento 與「商家中心」的帳戶後，任何在 Magento 商店更新的商店資料也會在「商家中心」內隨之更新。"
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","按一下以下的 [%s] 按鈕即可開始。系統會自動產生一個全新的 Magento API 帳戶，而您商店的資料及憑證也會透過安全的連線提交至「商家中心」。如果您尚未有「商家中心」帳戶，請依照系統的申請提示新建帳戶。注意：如果您尚未建立連結，您的 API 資料將會在 60 天後被刪除。"
"Google Shopping","Google 購物"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","「%sGoogle 購物%s」能助商家掌握客戶的購買意欲，在關鍵時刻向目標對象顯示相關的產品廣告。您可使用此擴充程式將商店及產品資料上載至 Google 商家中心，供「Google 購物」及其他 Google 服務使用，以接觸數以百萬計對您產品有興趣的新客戶。"
"Launch","啟動"
"Learn More","瞭解詳情"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","擷取商店資料"
"Retrieve basic shop information","擷取商店基本資料"
"Retrieve product information","擷取產品資料"
